Variables:
    W1, W2, Z1, Z2, Z3, Z4, X1111, X1112, X1121, X1122, X1211, X1212, X1221, X1222, X2111, X2112, X2121, X2122, X2211, X2212, X2221, X2222

Minimize:
    H(Z1) + 2H(X1212)

Subject To:
    H(Z1 | W1, W2) = 0
    H(Z2 | W1, W2) = 0
    H(Z3 | W1, W2) = 0
    H(Z4 | W1, W2) = 0
    H(X1111 | W1, W2) = 0
    H(X1112 | W1, W2) = 0
    H(X1121 | W1, W2) = 0
    H(X1122 | W1, W2) = 0
    H(X1211 | W1, W2) = 0
    H(X1212 | W1, W2) = 0
    H(X1221 | W1, W2) = 0
    H(X1222 | W1, W2) = 0
    H(X2111 | W1, W2) = 0
    H(X2112 | W1, W2) = 0
    H(X2121 | W1, W2) = 0
    H(X2122 | W1, W2) = 0
    H(X2211 | W1, W2) = 0
    H(X2212 | W1, W2) = 0
    H(X2221 | W1, W2) = 0
    H(X2222 | W1, W2) = 0
    H(W1 |Z1, X1111) = 0
    H(W1 |Z1, X1112) = 0
    H(W1 |Z1, X1121) = 0
    H(W1 |Z1, X1122) = 0
    H(W1 |Z1, X1211) = 0
    H(W1 |Z1, X1212) = 0
    H(W1 |Z1, X1221) = 0
    H(W1 |Z1, X1222) = 0
    H(W2 |Z1, X2111) = 0
    H(W2 |Z1, X2112) = 0
    H(W2 |Z1, X2121) = 0
    H(W2 |Z1, X2122) = 0
    H(W2 |Z1, X2211) = 0
    H(W2 |Z1, X2212) = 0
    H(W2 |Z1, X2221) = 0
    H(W2 |Z1, X2222) = 0
    H(W1 |Z2, X1111) = 0
    H(W1 |Z2, X1112) = 0
    H(W1 |Z2, X1121) = 0
    H(W1 |Z2, X1122) = 0
    H(W2 |Z2, X1211) = 0
    H(W2 |Z2, X1212) = 0
    H(W2 |Z2, X1221) = 0
    H(W2 |Z2, X1222) = 0
    H(W1 |Z2, X2111) = 0
    H(W1 |Z2, X2112) = 0
    H(W1 |Z2, X2121) = 0
    H(W1 |Z2, X2122) = 0
    H(W2 |Z2, X2211) = 0
    H(W2 |Z2, X2212) = 0
    H(W2 |Z2, X2221) = 0
    H(W2 |Z2, X2222) = 0
    H(W1 |Z3, X1111) = 0
    H(W1 |Z3, X1112) = 0
    H(W2 |Z3, X1121) = 0
    H(W2 |Z3, X1122) = 0
    H(W1 |Z3, X1211) = 0
    H(W1 |Z3, X1212) = 0
    H(W2 |Z3, X1221) = 0
    H(W2 |Z3, X1222) = 0
    H(W1 |Z3, X2111) = 0
    H(W1 |Z3, X2112) = 0
    H(W2 |Z3, X2121) = 0
    H(W2 |Z3, X2122) = 0
    H(W1 |Z3, X2211) = 0
    H(W1 |Z3, X2212) = 0
    H(W2 |Z3, X2221) = 0
    H(W2 |Z3, X2222) = 0
    H(W1 |Z4, X1111) = 0
    H(W2 |Z4, X1112) = 0
    H(W1 |Z4, X1121) = 0
    H(W2 |Z4, X1122) = 0
    H(W1 |Z4, X1211) = 0
    H(W2 |Z4, X1212) = 0
    H(W1 |Z4, X1221) = 0
    H(W2 |Z4, X1222) = 0
    H(W1 |Z4, X2111) = 0
    H(W2 |Z4, X2112) = 0
    H(W1 |Z4, X2121) = 0
    H(W2 |Z4, X2122) = 0
    H(W1 |Z4, X2211) = 0
    H(W2 |Z4, X2212) = 0
    H(W1 |Z4, X2221) = 0
    H(W2 |Z4, X2222) = 0
    H(W1) = 1
    H(W1, W2) = 2
    H(W1, W2, W3) = 3
    H(W1, W2, W3, W4) = 4
